,District,VDC/Municipality,Urban/Rural,Age,Gender,Marital Status,Caste/ethnicity,Occupation,What is the current status of your home?,1. Are your main reconstruction needs being addressed?,2. Do you have the information you need to access housing reconstruction support?,3. Have you consulted an engineer for your housing reconstruction needs?,5. Have you received any housing reconstruction support (this includes both financial and technical)?,6. Have you been able to commit your own resources?,7.  Are you aware how to build by using safer housing practices?,8. Do you face any barriers to receive support to reconstruct your house?,10. Are you satisfied with grant dispersal process?,"11. Besides building your home, what is the biggest community reconstruction need of your community?","12. Overall, is the post-earthquake reconstruction process making progress?",12. Are your family’s daily food need being met?,13. What is your primary source of income generation now?,14. How much of your own food do you grow?,15. Has damage from the earthquake impacted your livelihood?,16. Do you face any constraints to livelihood recovery?,17. What one skill would you like to develop in support of your livelihood?,18. Do you feel that your source of livelihood would survive another disaster?,19. Have any members of your family been required to migrate to support your family’s recovery?,HRRP_DNAME,HRRP_DCODE
739,Dhading,Chhatredeurali VDC,Rural,25-39,Male,Married,Brahmin,Agriculture,Reconstruction completed,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Completely yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Entrepreneurship,Not at all,No,Dhading,524 2 05 30
740,Dhading,Chhatredeurali VDC,Rural,25-39,Female,Married,Brahmin,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Completely yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,All,Not at all,Not at all,New farming skills,Don’t know/Refused,No,Dhading,524 2 05 30
741,Dhading,Chhatredeurali VDC,Rural,25-39,Male,Married,Brahmin,Labourer,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Completely yes,Completely yes,Not at all,Completely yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Most,Not very much,Not at all,New farming skills,Not at all,No,Dhading,524 2 05 30
742,Dhading,Chhatredeurali VDC,Rural,25-39,Female,Married,Tamang,Home maker/ Housewife,Reconstruction completed,Completely yes,Don’t Know/Refused,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Not at all,Tailoring,Not very much,No,Dhading,524 2 05 30
743,Dhading,Chhatredeurali VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Reconstruction started,Not very much,Don’t Know/Refused,Have not consulted,Yes,Somewhat yes,Not very much,Not very much,Somewhat yes,Hospitals/Health Centre,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Not many,Masonry,Somewhat yes,No,Dhading,524 2 05 30
744,Dhading,Chhatredeurali VDC,Rural,55+,Male,Married,Brahmin,Agriculture,Completely destroyed - rubble cleared,Not at all,Somewhat yes,Have not consulted,Yes,Not at all,Not very much,Somewhat yes,Not at all,Hospitals/Health Centre,Not very much,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Not many,Entrepreneurship,Not very much,No,Dhading,524 2 05 30
745,Dhading,Chhatredeurali VDC,Rural,40-54,Male,Married,Magar,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Somewhat yes,Somewhat yes,Completely yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Completely yes,Not many,Entrepreneurship,Somewhat yes,No,Dhading,524 2 05 30
746,Dhading,Chhatredeurali VDC,Rural,25-39,Male,Married,Tamang,Labourer,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not at all,Not very much,Not very much,Somewhat yes,Water supply,Not very much,Not very much,Agriculture / livestock,Half,Completely yes,Not many,Entrepreneurship,Don’t know/Refused,No,Dhading,524 2 05 30
747,Dhading,Chhatredeurali VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not at all,Not very much,Not very much,Somewhat yes,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Half,Completely yes,Not many,New farming skills,Don’t know/Refused,No,Dhading,524 2 05 30
748,Dhading,Chhatredeurali VDC,Rural,40-54,Female,Married,Brahmin,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not at all,Not very much,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Completely yes,Not many,Entrepreneurship,Not at all,No,Dhading,524 2 05 30
749,Dhading,Chhatredeurali VDC,Rural,55+,Female,Married,Chhetri,Home maker/ Housewife,Reconstruction completed,Somewhat yes,Completely yes,Have Consulted,Yes,Somewhat yes,Don’t Know/Refused,Not at all,Somewhat yes,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Most,Completely yes,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
750,Dhading,Chhatredeurali VDC,Rural,40-54,Female,Married,Chhetri,Agriculture,Heavily damaged,,,,,,,,,Water supply,Don’t Know/Refused,Somewhat yes,Business,Little  bit,Not very much,Not many,Entrepreneurship,Somewhat yes,No,Dhading,524 2 05 30
751,Dhading,Chhatredeurali VDC,Rural,55+,Female,Married,Other,Shopkeeper,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Hospitals/Health Centre,Not very much,Somewhat yes,Agriculture / livestock,Half,Completely yes,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
752,Dhading,Chhatredeurali VDC,Rural,40-54,Male,Married,Chhetri,Unemployed,Completely destroyed - rubble cleared,Not at all,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Completely yes,Not at all,Roads,Not at all,Somewhat yes,Agriculture / livestock,Most,Completely yes,A lot of concern,New farming skills,Not at all,No,Dhading,524 2 05 30
753,Dhading,Chhatredeurali VDC,Rural,25-39,Female,Married,Chhetri,Home maker/ Housewife,Completely destroyed – rubble not cleared,Not at all,Not at all,Have not consulted,Yes,Not at all,Somewhat yes,Completely yes,Not at all,Roads,Not at all,Somewhat yes,Agriculture / livestock,Half,Completely yes,A lot of concern,New farming skills,Not at all,No,Dhading,524 2 05 30
754,Dhading,Chhatredeurali VDC,Rural,40-54,Female,Married,Chhetri,Agriculture,Completely destroyed - rubble cleared,Not at all,Not at all,Have not consulted,Yes,Not very much,Not very much,Somewhat yes,Not at all,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Half,Completely yes,Not many,New farming skills,Not very much,No,Dhading,524 2 05 30
755,Dhading,Chhatredeurali VDC,Rural,40-54,Male,Married,Tamang,Labourer,Completely destroyed - rubble cleared,Somewhat yes,Not at all,Have not consulted,Yes,Not at all,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Completely yes,Not many,New farming skills,Not very much,No,Dhading,524 2 05 30
756,Dhading,Chhatredeurali VDC,Rural,40-54,Male,Married,Tamang,Labourer,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Not very much,Not at all,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Completely yes,A lot of concern,Entrepreneurship,Not very much,No,Dhading,524 2 05 30
757,Dhading,Chhatredeurali VDC,Rural,25-39,Female,Married,Tamang,Unemployed,Completely destroyed - rubble cleared,Somewhat yes,Don’t Know/Refused,Have not consulted,Yes,Not very much,Don’t Know/Refused,Don’t Know/Refused,Don’t Know/Refused,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Little  bit,Completely yes,A lot of concern,Entrepreneurship,Don’t know/Refused,No,Dhading,524 2 05 30
758,Dhading,Chhatredeurali VDC,Rural,40-54,Male,Married,Chhetri,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not very much,Somewhat yes,Not at all,Somewhat yes,Water supply,Not very much,Somewhat yes,Agriculture / livestock,Half,Completely yes,Some concern,Entrepreneurship,Don’t know/Refused,No,Dhading,524 2 05 30
759,Dhading,Tipling VDC,Rural,15-24,Female,Married,Dalit,Business,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not at all,Somewhat yes,Not very much,Not at all,Schools,Not very much,Somewhat yes,Business,Little  bit,Not very much,Not many,Entrepreneurship,Not at all,No,Dhading,524 2 05 30
760,Dhading,Tipling VDC,Rural,15-24,Male,Married,Dalit,Labourer,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Schools,Not very much,Somewhat yes,Labour,Little  bit,Not very much,Not many,Handicraft production,Not at all,No,Dhading,524 2 05 30
761,Dhading,Tipling VDC,Rural,55+,Male,Married,Dalit,Labourer,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Labour,Little  bit,Not very much,Not many,Other building skills,Not at all,No,Dhading,524 2 05 30
762,Dhading,Tipling VDC,Rural,15-24,Male,Married,Dalit,Labourer,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Hospitals/Health Centre,Somewhat yes,Somewhat yes,Labour,Little  bit,Not very much,Not many,Other building skills,Not at all,No,Dhading,524 2 05 30
763,Dhading,Tipling VDC,Rural,15-24,Male,Married,Dalit,Labourer,Completely destroyed - rubble cleared,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Not very much,Trails/lane,Not very much,Somewhat yes,Labour,Little  bit,Not very much,Not many,Other building skills,Not at all,No,Dhading,524 2 05 30
764,Dhading,Tipling VDC,Rural,55+,Male,Married,Janajati,Agriculture,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Trails/lane,Not very much,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
765,Dhading,Tipling VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Not very much,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
766,Dhading,Tipling VDC,Rural,15-24,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Not very much,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
767,Dhading,Tipling VDC,Rural,25-39,Female,Married,Tamang,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Not very much,Schools,Not very much,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
768,Dhading,Tipling VDC,Rural,40-54,Female,Married,Janajati,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
769,Dhading,Tipling VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Schools,Not very much,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
770,Dhading,Tipling VDC,Rural,55+,Male,Married,Dalit,Labourer,Minor damaged,Not at all,Not very much,Have not consulted,Yes,Not very much,Not very much,Not very much,Not at all,Religious/ Cultural Heritages,Not very much,Somewhat yes,Labour,Little  bit,Somewhat yes,Some concern,New farming skills,Not at all,No,Dhading,524 2 05 30
771,Dhading,Tipling VDC,Rural,25-39,Male,Married,Dalit,Other,Completely destroyed – rubble not cleared,Not very much,Not very much,Have not consulted,Yes,Somewhat yes,Completely yes,Not very much,Not very much,Religious/ Cultural Heritages,Not very much,Somewhat yes,Labour,Little  bit,Somewhat yes,A lot of concern,Entrepreneurship,Not at all,No,Dhading,524 2 05 30
772,Dhading,Tipling VDC,Rural,15-24,Female,Married,Dalit,Home maker/ Housewife,Completely destroyed – rubble not cleared,Not at all,Not very much,Have not consulted,Yes,Somewhat yes,Not very much,Not very much,Not very much,Water supply,Not very much,Somewhat yes,Cash for work,None,Not very much,A lot of concern,Tailoring,Not at all,No,Dhading,524 2 05 30
773,Dhading,Tipling VDC,Rural,55+,Female,Widow/Widower,Dalit,Labourer,Completely destroyed - rubble cleared,Not at all,Not very much,Have not consulted,Yes,Not very much,Not very much,Not very much,Not very much,Water supply,Not very much,Somewhat yes,Labour,None,Somewhat yes,A lot of concern,Entrepreneurship,Not at all,No,Dhading,524 2 05 30
774,Dhading,Tipling VDC,Rural,25-39,Female,Divorced,Dalit,Labourer,Completely destroyed – rubble not cleared,Not at all,Not very much,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Labour,None,Somewhat yes,A lot of concern,Other building skills,Not at all,No,Dhading,524 2 05 30
775,Dhading,Tipling VDC,Rural,55+,Female,Married,Tamang,Agriculture,Reconstruction completed,Not very much,Not very much,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Not very much,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,A lot of concern,New farming skills,Not at all, Yes,Dhading,524 2 05 30
776,Dhading,Tipling VDC,Rural,40-54,Male,Married,Tamang,Agriculture,Reconstruction started,Not very much,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Not very much,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,A lot of concern,New farming skills,Not at all, Yes,Dhading,524 2 05 30
777,Dhading,Tipling VDC,Rural,25-39,Male,Married,Tamang,Agriculture,Reconstruction started,Not at all,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Not very much,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Carpentry,Not at all,No,Dhading,524 2 05 30
778,Dhading,Tipling VDC,Rural,55+,Female,Married,Tamang,Agriculture,Heavily damaged,Not at all,Not very much,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,A lot of concern,New farming skills,Not at all,No,Dhading,524 2 05 30
779,Dhading,Tipling VDC,Rural,40-54,Female,Married,Tamang,Agriculture,Reconstruction started,Not at all,Not very much,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Not very much,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Not many,New farming skills,Not at all,No,Dhading,524 2 05 30
780,Bhaktapur,Suryabinayak Municipality,Urban,25-39,Female,Married,Brahmin,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Community Centre,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Tailoring,Somewhat yes, Yes,Bhaktapur,524 2 05 26
781,Bhaktapur,Suryabinayak Municipality,Urban,55+,Male,Married,Chhetri,Agriculture,Reconstruction completed,Completely yes,Completely yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Government Offices,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Some concern,Tailoring,Somewhat yes,No,Bhaktapur,524 2 05 26
782,Bhaktapur,Suryabinayak Municipality,Urban,55+,Male,Married,Brahmin,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Government Offices,Somewhat yes,Somewhat yes,Business,Half,Somewhat yes,Some concern,Computer training,Somewhat yes,No,Bhaktapur,524 2 05 26
783,Bhaktapur,Suryabinayak Municipality,Urban,25-39,Female,Married,Chhetri,Agriculture,Heavily damaged,Not very much,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Hospitals/Health Centre,Not very much,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Tailoring,Somewhat yes,No,Bhaktapur,524 2 05 26
784,Bhaktapur,Suryabinayak Municipality,Urban,25-39,Female,Married,Chhetri,Agriculture,Minor damaged,,,,,,,,,Government Offices,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not at all,Some concern,Entrepreneurship,Somewhat yes,No,Bhaktapur,524 2 05 26
785,Bhaktapur,Suryabinayak Municipality,Urban,40-54,Male,Married,Chhetri,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Community Centre,Somewhat yes,Somewhat yes,Tea shop/shop,Most,Somewhat yes,Some concern,Entrepreneurship,Somewhat yes, Yes,Bhaktapur,524 2 05 26
786,Bhaktapur,Suryabinayak Municipality,Urban,40-54,Male,Married,Chhetri,Agriculture,Minor damaged,,,,,,,,,Community Centre,Not very much,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Some concern,Entrepreneurship,Somewhat yes, Yes,Bhaktapur,524 2 05 26
787,Bhaktapur,Suryabinayak Municipality,Urban,25-39,Male,Married,Chhetri,Home maker/ Housewife,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Community Centre,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Not very much,Some concern,Entrepreneurship,Somewhat yes,No,Bhaktapur,524 2 05 26
788,Bhaktapur,Suryabinayak Municipality,Urban,25-39,Male,Married,Chhetri,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Some concern,Entrepreneurship,Somewhat yes,No,Bhaktapur,524 2 05 26
789,Bhaktapur,Suryabinayak Municipality,Urban,55+,Male,Married,Chhetri,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Plan to Consult,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Handicraft production,Somewhat yes, Yes,Bhaktapur,524 2 05 26
790,Bhaktapur,Suryabinayak Municipality,Urban,40-54,Female,Widow/Widower,Chhetri,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Schools,Somewhat yes,Somewhat yes,Agriculture / livestock,Most,Somewhat yes,Some concern,Computer training,Somewhat yes,No,Bhaktapur,524 2 05 26
791,Bhaktapur,Suryabinayak Municipality,Urban,40-54,Female,Married,Chhetri,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Community Centre,Somewhat yes,Completely yes,Agriculture / livestock,Most,Completely yes,Some concern,Entrepreneurship,Somewhat yes, Yes,Bhaktapur,524 2 05 26
792,Bhaktapur,Anantalingeshwor Municipality,Urban,25-39,Male,Married,Brahmin,Unemployed,Reconstruction started,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Somewhat yes,Somewhat yes,Completely yes,Not at all,Trails/lane,Somewhat yes,Completely yes,Government job,Little  bit,Not very much,Not many,Entrepreneurship,Somewhat yes,No,Bhaktapur,524 2 05 26
793,Bhaktapur,Anantalingeshwor Municipality,Urban,40-54,Male,Married,Magar,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not at all,Not very much,Not very much,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Bhaktapur,524 2 05 26
794,Bhaktapur,Anantalingeshwor Municipality,Urban,25-39,Female,Married,Brahmin,Home maker/ Housewife,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Not very much,Not very much,Not very much,Trails/lane,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,Tailoring,Somewhat yes, Yes,Bhaktapur,524 2 05 26
795,Bhaktapur,Anantalingeshwor Municipality,Urban,55+,Male,Married,Chhetri,Agriculture,Completely destroyed - rubble cleared,Somewhat yes,Somewhat yes,Have not consulted,Yes,Not at all,Not very much,Not very much,Somewhat yes,Water supply,Somewhat yes,Completely yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Not at all,No,Bhaktapur,524 2 05 26
796,Bhaktapur,Anantalingeshwor Municipality,Urban,55+,Male,Widow/Widower,Newar,Agriculture,Completely destroyed – rubble not cleared,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Don’t Know/Refused,Not very much,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Not very much,No,Bhaktapur,524 2 05 26
797,Bhaktapur,Anantalingeshwor Municipality,Urban,25-39,Female,Married,Brahmin,Agriculture,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,No,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,Tailoring,Somewhat yes, Yes,Bhaktapur,524 2 05 26
798,Bhaktapur,Anantalingeshwor Municipality,Urban,40-54,Female,Married,Newar,Home maker/ Housewife,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,New farming skills,Somewhat yes,No,Bhaktapur,524 2 05 26
799,Bhaktapur,Anantalingeshwor Municipality,Urban,40-54,Male,Married,Chhetri,Business,Minor damaged,,,,,,,,,Trails/lane,Somewhat yes,Somewhat yes,Business,Most,Not very much,Not many,Entrepreneurship,Somewhat yes,No,Bhaktapur,524 2 05 26
800,Bhaktapur,Anantalingeshwor Municipality,Urban,55+,Female,Widow/Widower,Chhetri,Home maker/ Housewife,Heavily damaged,Not at all,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Driving,Little  bit,Somewhat yes,Some concern,Entrepreneurship,Not very much,No,Bhaktapur,524 2 05 26
801,Bhaktapur,Anantalingeshwor Municipality,Urban,25-39,Female,Married,Chhetri,Agriculture,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes,No,Bhaktapur,524 2 05 26
802,Bhaktapur,Anantalingeshwor Municipality,Urban,25-39,Male,Married,Chhetri,Labourer,Heavily damaged,Not very much,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Not very much,Business,Little  bit,Somewhat yes,Some concern,Entrepreneurship,Not very much,No,Bhaktapur,524 2 05 26
803,Bhaktapur,Anantalingeshwor Municipality,Urban,40-54,Female,Married,Chhetri,Home maker/ Housewife,Heavily damaged,Somewhat yes,Somewhat yes,Have not consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Job at private company,Half,Somewhat yes,Some concern,Entrepreneurship,Somewhat yes,No,Bhaktapur,524 2 05 26
804,Bhaktapur,Anantalingeshwor Municipality,Urban,40-54,Male,Married,Chhetri,Other,Reconstruction started,Somewhat yes,Somewhat yes,Have Consulted,No,Somewhat yes,Somewhat yes,Somewhat yes,Somewhat yes,Trails/lane,Somewhat yes,Not very much,Guest house,None,Somewhat yes,Some concern,Entrepreneurship,Not very much, Yes,Bhaktapur,524 2 05 26
805,Bhaktapur,Suryabinayak Municipality,Urban,55+,Male,Married,Newar,Shopkeeper,Heavily damaged,Somewhat yes,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Not very much,Religious/ Cultural Heritages,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,Other building skills,Somewhat yes,No,Bhaktapur,524 2 05 26
806,Bhaktapur,Suryabinayak Municipality,Urban,15-24,Female,Married,Chhetri,Private sector job,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Religious/ Cultural Heritages,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Not very much,Not many,New farming skills,Somewhat yes,No,Bhaktapur,524 2 05 26
807,Bhaktapur,Suryabinayak Municipality,Urban,40-54,Female,Separated,Chhetri,Agriculture,Heavily damaged,Not very much,Somewhat yes,Have Consulted,Yes,Not very much,Somewhat yes,Not very much,Somewhat yes,Trails/lane,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Some concern,Entrepreneurship,Not very much,No,Bhaktapur,524 2 05 26
808,Bhaktapur,Suryabinayak Municipality,Urban,40-54,Male,Married,Newar,Agriculture,Heavily damaged,Not very much,Somewhat yes,Have Consulted,"Not yet, but expected",Not very much,Somewhat yes,Not very much,Not very much,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Little  bit,Not very much,Not many,Entrepreneurship,Not very much,No,Bhaktapur,524 2 05 26
809,Bhaktapur,Suryabinayak Municipality,Urban,55+,Male,Married,Newar,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Water supply,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Entrepreneurship,Somewhat yes,No,Bhaktapur,524 2 05 26
810,Bhaktapur,Suryabinayak Municipality,Urban,40-54,Female,Married,Newar,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not very much,Somewhat yes,Hospitals/Health Centre,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Entrepreneurship,Somewhat yes, Yes,Bhaktapur,524 2 05 26
811,Bhaktapur,Suryabinayak Municipality,Urban,25-39,Female,Widow/Widower,Newar,Agriculture,Reconstruction completed,Somewhat yes,Somewhat yes,Have Consulted,Yes,Somewhat yes,Somewhat yes,Not at all,Somewhat yes,Roads,Somewhat yes,Somewhat yes,Agriculture / livestock,Half,Somewhat yes,Some concern,Tailoring,Somewhat yes,No,Bhaktapur,524 2 05 26
812,Bhaktapur,Suryabinayak Municipality,Urban,40-54,Male,Married,Brahmin,Public Sector Job,Reconstruction completed,Somewhat yes,Completely yes,Have Consulted,Yes,Completely yes,Somewhat yes,Not at all,Completely yes,Water supply,Completely yes,Completely yes,Job at Public Sector,Half,Somewhat yes,Some concern,Entrepreneurship,Somewhat yes,No,Bhaktapur,524 2 05 26
